Processes: 742 total, 3 running, 739 sleeping, 3274 threads 
2025/11/07 10:47:23
Load Avg: 1.92, 1.87, 1.78 
CPU usage: 4.86% user, 10.61% sys, 84.51% idle 
SharedLibs: 856M resident, 184M data, 131M linkedit.
MemRegions: 350801 total, 8305M resident, 423M private, 3747M shared.
PhysMem: 23G used (2124M wired, 3841M compressor), 153M unused.
VM: 314T vsize, 5702M framework vsize, 0(0) swapins, 0(0) swapouts.
Networks: packets: 5486966/4297M in, 1807296/1837M out.
Disks: 1126483/22G read, 732951/34G written.

PID    COMMAND          %CPU TIME     #TH    #WQ  #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS  COW   MSGSENT  MSGRECV  SYSBSD   SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES JETPRI USER                  #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
69634  MessagesBlastDoo 0.0  00:00.10 2      1    30     4512K 0B    4160K 69634 1     sleeping *0[1]        0.00000 0.00000    501 1281    199   1842     907      948      1432      217       219     0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69633  com.apple.siri.e 0.0  00:00.24 2      1    35     7520K 0B    7088K 69633 1     sleeping *0[22]       0.00000 0.00000    501 5100    204   205      94       7294     440       672       1202    0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69632  businessservices 0.0  00:00.06 2      1    58     4480K 0B    4048K 69632 1     sleeping *4[1]        0.00000 0.00000    501 1441    200   160      39       1158     395       241       81      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69631  tipsd            0.0  00:00.91 2      1    119    9424K 0B    7104K 69631 1     sleeping *0[1826]     0.00000 0.00000    501 3478    267   2723     2174     29309    11659     12933     247     321     0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69630  dprivacyd        0.0  00:00.15 2      1    89     3968K 0B    3664K 69630 1     sleeping *0[10]       0.00000 0.00000    501 1484    146   245      125      5310     2023      1584      12      1       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69625  cfprefsd         0.0  00:00.06 2      1    22     2176K 0B    1920K 69625 1     sleeping *0[3]        0.00000 0.00000    242 1011    117   119      57       953      300       678       2       1       0.0   0      0      0      _nsurlsessiond        N/A    N/A   N/A   N/A   N/A   N/A  
69624  intelligenceplat 0.0  00:00.16 2      1    81     9296K 0B    8896K 69624 1     sleeping *0[4]        0.00000 0.00000    501 2119    257   232      95       2816     724       694       77      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69621  privatecloudcomp 0.0  00:00.22 2      1    78     6272K 0B    4864K 69621 1     sleeping *0[3]        0.00000 0.00000    501 2579    218   276      114      6514     652       2767      42      325     0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69620  mapssyncd        0.0  00:00.48 2      1    84     7984K 0B    7008K 69620 1     sleeping *0[8]        0.00000 0.00000    501 3916    198   1108     829      15911    3539      5320      18      26      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
69611  cfprefsd         0.0  00:00.05 2      1    27     2352K 0B    2064K 69611 1     sleeping *0[8]        0.00000 0.00000    200 999     117   126      64       1125     310       280       2       1       0.0   0      0      0      _softwareupdate       N/A    N/A   N/A   N/A   N/A   N/A  
69599  ciphermld        0.0  00:00.11 2      1    57     5184K 0B    4368K 69599 1     sleeping *0[1]        0.00000 0.00000    501 1672    196   178      64       2135     565       725       75      4       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
68735  ospredictiond    0.0  00:00.91 2      1    40     4640K 0B    4160K 68735 1     sleeping *2[1]        0.00000 0.00000    0   4181    173   3814     249      42410    11228     4510      32      1       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
68734  griddatad        0.0  00:00.02 2      1    44     2336K 0B    2016K 68734 1     sleeping  0[0]        0.00000 0.00000    0   729     132   97       40       443      257       154       10      0       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
67235  containermanager 0.0  00:00.09 2      1    34     2928K 0B    2592K 67235 1     sleeping  0[0]        0.00000 0.00000    278 1124    126   179      85       1423     386       234       2       0       0.0   0      0      0      _accessoryupdater     N/A    N/A   N/A   N/A   N/A   N/A  
67234  trustd           0.0  00:00.23 2      1    51     5664K 0B    5872K 67234 1     sleeping  0[0]        0.00000 0.00000    278 1961    146   254      132      4308     862       568       19      3       0.0   0      0      0      _accessoryupdater     N/A    N/A   N/A   N/A   N/A   N/A  
67233  cfprefsd         0.0  00:00.09 2      1    33     2400K 0B    2112K 67233 1     sleeping *0[4]        0.00000 0.00000    278 1102    118   150      107      1378     471       180       3       2       0.0   0      0      0      _accessoryupdater     N/A    N/A   N/A   N/A   N/A   N/A  
67232  secinitd         0.0  00:00.09 2      1    43     3392K 0B    3088K 67232 1     sleeping *0[7]        0.00000 0.00000    278 1278    146   191      68       1173     391       146       3       0       0.0   0      0      0      _accessoryupdater     N/A    N/A   N/A   N/A   N/A   N/A  
67231  com.apple.geod   0.0  00:00.74 2      1    60     6560K 0B    4288K 67231 1     sleeping *0[16]       0.00000 0.00000    278 4971    187   376      215      20056    992       5860      56      548     0.0   0      0      0      _accessoryupdater     N/A    N/A   N/A   N/A   N/A   N/A  
67177  PowerChime       0.0  00:00.46 6      1    296    11M   0B    6976K 67177 1     sleeping *0[1]        0.00000 0.00000    501 4992    276   5118     2777     18729    14751     10196     15      22      0.0   0      0      40     awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
66862  WeatherWidget    0.0  00:08.65 6      5/3  140    20M   0B    5360K 66862 1     sleeping *0[1]        0.00000 0.00000    501 8725    661   2456     1710     81229    8356      6938      140     136     0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
55663  MTLCompilerServi 0.0  00:00.02 2      1    36     7808K 0B    7408K 55663 1     sleeping *0[2]        0.00000 0.00000    501 1135    150   167      63       711      313       112       11      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
55662  MTLCompilerServi 0.0  00:00.02 2      1    33     7680K 0B    7280K 55662 1     sleeping *0[2]        0.00000 0.00000    501 1141    150   167      63       720      316       100       30      0       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
55641  QuickLookUIServi 0.0  00:00.21 3      1    157    6352K 0B    2832K 55641 1     sleeping  0[626]      0.00000 0.00000    501 2768    200   3279     991      8145     10027     3872      3       87      0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
55640  com.apple.appkit 0.0  00:11.18 4      2    352    53M   0B    28M   55640 1     sleeping *2120[5]     0.00000 0.00000    501 282278  436   92150    45102    213690   225565    70580     2518    2198    0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
55609  ThemeWidgetContr 0.0  00:00.21 3      1    157    15M   0B    9344K 55609 1     sleeping  0[628]      0.00000 0.00000    501 6628    204   3302     1077     7160     10066     3819      3       103     0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
52553  EscrowSecurityAl 0.0  00:00.06 2      1    55     3968K 0B    3696K 52553 1     sleeping  0[0]        0.00000 0.00000    501 1273    157   189      52       1470     542       474       6       2       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
52303  ChatGPT          0.0  13:41.28 12     3    598    269M  128K  177M  52303 1     sleeping *1523[116]   0.00000 0.00000    501 625224  829   9323849  1022590  3970511  23169068  2627826   5467    278648  0.0   0      0      100    awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
51954  com.apple.WebKit 0.0  00:10.37 10     1/1  76     161M  0B    162M  51954 1     sleeping *13[3793]    0.00000 0.00000    501 37130   581   24076    20830    108068   144345    47568     260     1987    0.0   0      0      40     awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
50509  com.apple.WebKit 0.0  05:32.67 6      1    128    487M  0B    109M  50509 1     sleeping  0[54630]    0.00000 0.00000    501 307639  584   628355   594377   1594434  3766279   997770    313     17648   0.0   0      0      40     awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
31846  rapportd         0.0  00:00.06 2      1    40     2832K 0B    2512K 31846 1     sleeping *0[1]        0.00000 0.00000    0   1040    128   147      96       1117     397       244       16      0       0.0   0      0      0      root                  N/A    N/A   N/A   N/A   N/A   N/A  
31705  XProtect         0.0  00:00.03 2      1    50     3616K 0B    3296K 31705 1     sleeping  0[0]        0.00000 0.00000    501 1341    123   178      73       957      575       422       3       2       0.0   0      0      0      awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
29633  top              0.0  00:00.22 1/1    0    16     5360K 0B    0B    29420 29420 running  *0[1]        0.00000 0.00000    0   1319    85    744979   372489   3877     378056    15        2       0       0.0   0      0      180    root                  N/A    N/A   N/A   N/A   N/A   N/A  
29632  iostat           0.0  00:00.00 2      1    23     1488K 0B    0B    29420 29420 sleeping *0[1]        0.00000 0.00000    501 372     84    82       41       182      126       5         2       0       0.0   0      0      180    awesome_guy           N/A    N/A   N/A   N/A   N/A   N/A  
